Ano,Nome,direcao,genero,produtora,imagem
2017,La Vingança,Fernando Fraiha,Ficção,Globo Filmes/Querosene Filmes,https://image.tmdb.org/t/p/w342/s4aNLsRTlTGgp8q6zQzWx0s04T1.jpg
2017,Lamparina da Aurora,Frederico Machado,Ficção,Lume Filmes,https://media.fstatic.com/0iCC8MYx4zKIHlK5v-P4xnnSoIw=/fit-in/290x478/smart/media/movies/covers/2017/11/2678815.jpg-r_1920_1080-f_jpg-q_x-xxyxx.jpg
2017,Lino - Uma aventura de sete vidas,Rafael Ribas,Animação,StartAnima,http://statics.livrariacultura.net.br/products/capas_lg/233/2000063233.jpg
2017,Love Film Festival,Bruno Safadi/Juancho Cardona/Manuela Dias/Vinícius Coimbra,Ficção,República Pureza Filmes,https://2.bp.blogspot.com/-1pupPnOST3g/WW2KHFIyUZI/AAAAAAAAQaw/YX0zItMsFT4Q8DwiI2qQs8EzRhhCvoHFwCLcBGAs/s1600/Captura%2Bde%2BTela%2B2017-07-18%2Ba%25CC%2580s%2B00.28.32.png
2017,"Lygia, uma Escritora Brasileira",Hélio Goldsztejn,Documentário,TV Cultura,https://cinema10.com.br/upload/filmes/filmes_12572_posterlygia.jpg
2017,"Macaco Tião, O Candidato do Povo",Alex Levy-Heller,Documentário,Alelo Filmes,https://media.fstatic.com/BUL8Bvvq9KyFofUr8bsS83OFaxE=/fit-in/290x478/smart/media/movies/covers/2018/03/macacotiãocandidatodopovoposter.jpg
2017,Mais do que eu possa me reconhecer,Allan Ribeiro,Documentário,Acalante Filmes,http://br.web.img3.acsta.net/r_1280_720/pictures/15/01/21/19/30/498587.jpg
2017,Malasartes e o duelo com a morte,Paulo Morelli,Ficção,O2 Filmes,https://d1xi64h779br3j.cloudfront.net/400x/smart/filters:format(jpeg):quality(10)/custom/uploads/2015/10/MALASARTES_CARTAZ2.jpg
2017,Mar Inquieto,Fernando Mantelli,Ficção,Verte Filmes,https://www.cafecomfilme.com.br/media/k2/items/cache/5ab9907e735ed3784812c1892a5934ec_XL.jpg?t=-62169984000
2017,Maria - Não esqueça que eu venho dos trópicos,Francisco C. Martins,Documentário,Liligo,http://assets.pandorafilmes.com.br/wp-content/uploads/2017/10/mari-poster-OFICiL-jpg.jpg
2017,Martírio,Ernesto de Carvalho/Tatiana Almeida (Tita)/Vincent Carelli,Documentário,Papo Amarelo,http://br.web.img3.acsta.net/c_215_290/pictures/17/02/09/12/18/234967.jpg
2017,Memória em Verde e Rosa,Pedro Von Krüger,Documentário,Com Domínio Filmes,http://br.web.img3.acsta.net/c_215_290/pictures/17/03/15/17/23/250937.jpg
2017,Meu corpo é político,Alice Riff,Documentário,Studio Riff,https://videocamp-prod-us.s3.amazonaws.com/uploads/poster_image/image/000/000/859/859/thumb_MeuCorpo_CARTAZ.jpg
2017,Meus 15 Anos,Caroline Fioratti,Ficção,Paris Entretenimento,https://static1.purebreak.com.br/articles/1/56/73/1/@/233461-larissa-manoela-conta-mais-sobre-o-enred-diapo-3.jpg
2017,Muito Romântico,Gustavo Jahn/Melissa Dullius,Ficção,Gustavo Jahn/Melissa Dullius,https://www.papodecinema.com.br/wp-content/uploads/2016/10/20161027-muito-romantico-papo-de-cinema-cartaz.jpg
2017,Mulher do Pai,Cristiane Oliveira,Ficção,Okna Produções,http://www.vitrinefilmes.com.br/site/wp-content/uploads/2017/05/Cartaz-Final_web-692x1024.jpg
2017,Não devore meu coração,Felipe Bragança,Ficção,Duas Mariola Filmes,https://djiby52t9cgpc.cloudfront.net/custom/uploads/2016/08/cartaz_naodevoremeucoracao.jpg
2017,"Ninguém entra, ninguém sai",Hsu Chien,Ficção,Caribe,https://i.ytimg.com/vi/l7tqH9fnhDM/hqdefault.jpg
2017,Ninguém está olhando,Julia Solomonoff,Ficção,Taiga Filmes e Vídeo,https://www.papodecinema.com.br/wp-content/uploads/2017/11/20171122-5950963-1.jpg-r_1920_1080-f_jpg-q_x-xxyxx-1.jpg
